"This is a list of medallists at the Summer Olympic Games (1896-2004) with details of the year of the olympics, city, sport, discipline, athlete name, gender, event and medal",,,,,,,,,,
,,,,,,,,,,
"DISCLAIMER: No guarantees, express or implied, as to the accuracy or completeness of the information provided. ",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Year,City,Sport,Discipline,Athlete Name,NOC,Gender,Event,Event Gender,Medal,Position
1900,Paris,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,M,Gold,1
1900,Paris,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,200m obstacle event,M,Silver,2
1900,Paris,Aquatics,Swimming,HOUBEN,FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"MERCHEZ, Désiré",FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,TARTARA,FRA,Men,200m team swimming,M,Bronze,3
1900,Paris,Aquatics,Swimming,"FREY, Julius",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,"HAINLE, Max",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,"SCHÖNE, Max",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,M,Gold,1
1900,Paris,Aquatics,Swimming,BERTRAND,FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,CADET,FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,"HOCHEPIED, Victor",FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Aquatics,Swimming,VERBECKE,FRA,Men,200m team swimming,M,Silver,2
1900,Paris,Cycling,Cycling Track,"DAUMAIN, .....",FRA,Men,25 kilometres,M,Bronze,3
1900,Paris,Cycling,Cycling Track,"BASTIEN, Louis",FRA,Men,25 kilometres,M,Gold,1
1900,Paris,Cycling,Cycling Track,"HILDEBRAND, Louis",FRA,Men,25 kilometres,M,Silver,2
1900,Paris,Shooting,Shooting,"BALME, Eugène",FRA,Men,25m rapid fire pistol (60 shots),M,Bronze,3
1900,Paris,Shooting,Shooting,"LARROUY, Maurice",FRA,Men,25m rapid fire pistol (60 shots),M,Gold,1
1900,Paris,Shooting,Shooting,"MOREAUX, Léon",FRA,Men,25m rapid fire pistol (60 shots),M,Silver,2
1900,Paris,Sailing,Sailing,"MACHENRY, M.",USA,Men,3-10t,X,Bronze,3
1900,Paris,Sailing,Sailing,"TAYLOR, Howard",GBR,Men,3-10t,X,Gold,1
1900,Paris,Sailing,Sailing,"GUFFLET, Maurice",FRA,Men,3-10t,X,Silver,2
1900,Paris,Athletics,Athletics,"CHASTANIE, Jacques",FRA,Men,3000m steeplechase,M,Bronze,3
1900,Paris,Athletics,Athletics,"ORTON, George",CAN,Men,3000m steeplechase,M,Gold,1
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,3000m steeplechase,M,Silver,2
1900,Paris,Aquatics,Swimming,"MARTIN, Louis",FRA,Men,4000m freestyle,M,Bronze,3
1900,Paris,Aquatics,Swimming,"JARVIS, John Arthur",GBR,Men,4000m freestyle,M,Gold,1
1900,Paris,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,4000m freestyle,M,Silver,2
1900,Paris,Athletics,Athletics,"ROBINSON, Sidney",GBR,Men,4000m steeplechase,M,Bronze,3
1900,Paris,Athletics,Athletics,"RIMMER, John",GBR,Men,4000m steeplechase,M,Gold,1
1900,Paris,Athletics,Athletics,"BENNETT, Charles",GBR,Men,4000m steeplechase,M,Silver,2
1900,Paris,Athletics,Athletics,"SCHULTZ, Ernst",DEN,Men,400m,M,Bronze,3
1900,Paris,Athletics,Athletics,"LONG, Maxwell W.Maxey",USA,Men,400m,M,Gold,1
1900,Paris,Athletics,Athletics,"HOLLAND, William",USA,Men,400m,M,Silver,2
